Название,Цена со скидкой,Цена без скидки,Ссылка,Картинка
Злодейский путь!.. Том 4,648 ₽,1 295 ₽,http://www.mann-ivanov-ferber.ru/catalog/product/zlodeiskii-put-tom-4/,/assets/images/covers/77/31977/1.00x-thumb.png
Путешествие в Древляндию,585 ₽,975 ₽,http://www.mann-ivanov-ferber.ru/catalog/product/putesestvie-v-drevliandiiu/,/assets/images/covers/14/32314/1.00x-thumb.png
Дубровский,298 ₽,595 ₽,http://www.mann-ivanov-ferber.ru/catalog/product/dubrovskii/,/assets/images/covers/42/32742/1.00x-thumb.png
Мифические существа татар,897 ₽,1 495 ₽,http://www.mann-ivanov-ferber.ru/catalog/product/mificeskie-sushhestva-tatar/,/assets/images/covers/62/31962/1.00x-thumb.png
Лигейя. Вечные истории,298 ₽,595 ₽,http://www.mann-ivanov-ferber.ru/catalog/product/ligeiia-vecnye-istorii/,/assets/images/covers/54/32554/1.00x-thumb.png
Мифы воды,657 ₽,1 095 ₽,http://www.mann-ivanov-ferber.ru/catalog/product/morskie-mify/,/assets/images/covers/60/30960/1.00x-thumb.png
Эмма,413 ₽,825 ₽,http://www.mann-ivanov-ferber.ru/catalog/product/emma/,/assets/images/covers/43/32043/1.00x-thumb.png
"Мозг знает, почему тебе плохо",417 ₽,695 ₽,http://www.mann-ivanov-ferber.ru/catalog/product/the-balanced-brain/,/assets/images/covers/31/27331/1.00x-thumb.png
Ты мой! Том 2,747 ₽,1 245 ₽,http://www.mann-ivanov-ferber.ru/catalog/product/ty-moj-tom-2/,/assets/images/covers/20/29220/1.00x-thumb.png
Дочь Лунной богини,569 ₽,875 ₽,http://www.mann-ivanov-ferber.ru/catalog/product/doc-lunnoi-bogini/,/assets/images/covers/66/32966/1.00x-thumb.png
Русские промыслы и ремесла,623 ₽,1 245 ₽,http://www.mann-ivanov-ferber.ru/catalog/product/russkie-promysly-i-remesla/,/assets/images/covers/04/32004/1.00x-thumb.png
